Reaction ID,LB,UB
R_EXi_ptrc_LPAREN_e_RPAREN_,0,0
R_EXi_ser_D_LPAREN_e_RPAREN_,0,0
R_EXi_skm_LPAREN_e_RPAREN_,0,0
R_EXi_spmd_LPAREN_e_RPAREN_,0,0
R_EXi_thymd_LPAREN_e_RPAREN_,0,0
R_EXi_trsfr_LPAREN_e_RPAREN_,0,0
R_EXi_trsfr_un_LPAREN_e_RPAREN_,0,0
R_EXi_ttdca_LPAREN_e_RPAREN_,0,0
R_EXi_ttdcea_LPAREN_e_RPAREN_,0,0
R_EXi_tungs_LPAREN_e_RPAREN_,0,0
R_EXi_ump_LPAREN_e_RPAREN_,0,0
R_EXi_ura_LPAREN_e_RPAREN_,0,0
R_EXi_uri_LPAREN_e_RPAREN_,0,0
R_EXi_xan_LPAREN_e_RPAREN_,0,0
R_EXi_xmp_LPAREN_e_RPAREN_,0,0
R_EXi_xtsn_LPAREN_e_RPAREN_,0,0
R_EXi_zn2_LPAREN_e_RPAREN_,0,0
R_EXo_15dap_LPAREN_e_RPAREN_,0,99999
R_EXo_23dhb_LPAREN_e_RPAREN_,0,99999
R_EXo_26dap_M_LPAREN_e_RPAREN_,0,99999
R_EXo_4abut_LPAREN_e_RPAREN_,0,99999
R_EXo_ac_LPAREN_e_RPAREN_,0,99999
R_EXo_acac_LPAREN_e_RPAREN_,0,99999
R_EXo_acald_LPAREN_e_RPAREN_,0,99999
R_EXo_acgal_LPAREN_e_RPAREN_,0,99999
R_EXo_acgal1p_LPAREN_e_RPAREN_,0,99999
R_EXo_acgam_LPAREN_e_RPAREN_,0,99999
R_EXo_acgam1p_LPAREN_e_RPAREN_,0,99999
R_EXo_acmum_LPAREN_e_RPAREN_,0,99999
R_EXo_acser_LPAREN_e_RPAREN_,0,99999
R_EXo_ade_LPAREN_e_RPAREN_,0,99999
R_EXo_adn_LPAREN_e_RPAREN_,0,99999
R_EXo_adocbl_LPAREN_e_RPAREN_,0,99999
R_EXo_ag_LPAREN_e_RPAREN_,0,99999
R_EXo_agm_LPAREN_e_RPAREN_,0,99999
R_EXo_akg_LPAREN_e_RPAREN_,0,99999
R_EXo_ala_B_LPAREN_e_RPAREN_,0,99999
R_EXo_ala_D_LPAREN_e_RPAREN_,0,99999
R_EXo_ala_L_LPAREN_e_RPAREN_,0,99999
R_EXo_alaala_LPAREN_e_RPAREN_,0,99999
R_EXo_ALC_LPAREN_e_RPAREN_,0,99999
R_EXo_amp_LPAREN_e_RPAREN_,0,99999
R_EXo_anhgm_LPAREN_e_RPAREN_,0,99999
R_EXo_arbtn_fe3_LPAREN_e_RPAREN_,0,99999
R_EXo_arbtn_LPAREN_e_RPAREN_,0,99999
R_EXo_arg_L_LPAREN_e_RPAREN_,0,99999
R_EXo_asn_L_LPAREN_e_RPAREN_,0,99999
R_EXo_asp_D_LPAREN_e_RPAREN_,0,99999
R_EXo_asp_L_LPAREN_e_RPAREN_,0,99999
R_EXo_bhb_LPAREN_e_RPAREN_,0,99999
R_EXo_blvrdn_LPAREN_e_RPAREN_,0,99999
R_EXo_but_LPAREN_e_RPAREN_,0,99999
R_EXo_ca2_LPAREN_e_RPAREN_,0,99999
R_EXo_cd2_LPAREN_e_RPAREN_,0,99999
R_EXo_cgly_LPAREN_e_RPAREN_,0,99999
R_EXo_chol_LPAREN_e_RPAREN_,0,99999
R_EXo_cit_LPAREN_e_RPAREN_,0,99999
R_EXo_cl_LPAREN_e_RPAREN_,0,99999
R_EXo_cmp_LPAREN_e_RPAREN_,0,99999
R_EXo_co_LPAREN_e_RPAREN_,0,99999
R_EXo_co2_LPAREN_e_RPAREN_,0,99999
R_EXo_cobalt2_LPAREN_e_RPAREN_,0,99999
R_EXo_cpgn_LPAREN_e_RPAREN_,0,99999
R_EXo_cpgn_un_LPAREN_e_RPAREN_,0,99999
