R05588,,,,,,
substrates,1,C09816,1,C00091,,
products,1,C09817,1,C00042,,
R01300,,,,,,
substrates,1,C00002,1,C00156,1,C00010
products,1,C00020,1,C00013,1,C02949
R05599,,,,,,
substrates,1,C09818,1,C00001,,
products,1,C09819,,,,
R05598,,,,,,
substrates,1,C01455,1,C00122,,
products,1,C09816,,,,
R05575,,,,,,
substrates,1,C09819,1,C00003,,
products,1,C09820,1,C00004,1,C00080
R05316,,,,,,
substrates,1,C02949,1,C00138,,
products,1,C00512,1,C00139,1,C00001
R01238,,,,,,
substrates,1,C00156,,,,
products,1,C00146,1,C00011,,
R05587,,,,,,
substrates,1,C09820,1,C00010,,
products,1,C00512,1,C00091,,
R05584,,,,,,
substrates,1,C09817,2,C04253,,
products,1,C09818,2,C04570,,
R01422,,,,,,
substrates,1,C00002,1,C00180,1,C00010
products,1,C00020,1,C00013,1,C00512
R_1001,,,,,,
substrates,1,C01407,1,C00011,,
products,1,C00180,,,,
R_1002,,,,,,
substrates,1,C00180,1,C00091,,
products,1,C00512,1,C00042,,
R_1003,,,,,,
substrates,1,C00146,1,C00002,,
products,1,C02734,1,C00020,1,C00009
R_1004,,,,,,
substrates,1,C02734,1,C00011,,
products,1,C00156,1,C00009,,
