K02574,K02575,OR,K02575,OR,K00372,K00360,OR,K15576,K15577,K15578
R00798,K00370,K00371,K00374,K00373,OR,K00372,K00360,OR,K02567,K02568
R00785,K00368,K15864,,,,,,,,
R00294,K04561,K02305,,,,,,,,
R05185,K02586,K02591,K02588,OR,K00531,,,,,
R00787,K00362,K00363,,,,,,,,
R05712,K03385,K15876,,,,,,,,
R00143,K05601,K15864,,,,,,,,
R00148,K10944,K10945,K10946,,,,,,,
