R00833,K01847,OR,K01848,K01849,,,,,,,,
R01859,K15052,OR ,K18605,K18604,K18603,OR,K18605,K15037,K01964,OR,K15036,
R00742,K02160,K01961,K01962,K01963,OR,K01964,K15037,K15036,OR,K18603,K18604,K18605
