R00148,K10944,K10945,K10946,,,,,,,
R00294,K02305,K04561,,,,,,,,
R00785,K00368,K15864,,,,,,,,
R00787,K00362,K00363,OR,K17877,,,,,,
R00798,K00370,K00371,K00373,K00374,OR,K02567,K02568,OR,K00360,K00372
